City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
195,Synya,RU,2022-05-23 02:38:19,65.3718,58.0387,36.86,88,100,11.03,overcast clouds
196,Kahului,US,2022-05-23 02:38:20,20.8947,-156.47,86.02,63,0,23.02,clear sky
197,Mayor Pablo Lagerenza,PY,2022-05-23 02:38:20,-19.9309,-60.7718,70.11,52,97,1.86,overcast clouds
198,Taltal,CL,2022-05-23 02:38:20,-25.4,-70.4833,62.64,69,1,4.12,clear sky
199,Bojnurd,IR,2022-05-23 02:38:21,37.4747,57.329,49.95,66,20,2.3,few clouds
200,Aklavik,CA,2022-05-23 02:38:21,68.2191,-135.0107,35.44,61,99,11.95,overcast clouds
201,Dwarka,IN,2022-05-23 02:38:22,22.2394,68.9678,83.88,76,77,24.7,broken clouds
202,Haines Junction,CA,2022-05-23 02:38:22,60.7522,-137.5108,57.15,24,100,12.66,overcast clouds
203,Monroe,US,2022-05-23 02:38:23,43.1501,-77.6831,53.96,86,75,4.61,broken clouds
204,Bredasdorp,ZA,2022-05-23 02:38:23,-34.5322,20.0403,53.65,89,42,3.6,scattered clouds
205,Mar Del Plata,AR,2022-05-23 02:37:41,-38.0023,-57.5575,53.94,81,0,4.61,clear sky
206,Nantucket,US,2022-05-23 02:35:34,41.2835,-70.0995,62.71,98,100,12.66,fog
207,Hithadhoo,MV,2022-05-23 02:38:24,-0.6,73.0833,83.34,73,100,11.81,overcast clouds
208,Tiksi,RU,2022-05-23 02:38:24,71.6872,128.8694,32.45,92,7,3.96,clear sky
209,Barra Dos Coqueiros,BR,2022-05-23 02:38:25,-10.9089,-37.0386,78.82,73,40,5.75,scattered clouds
210,Jalu,LY,2022-05-23 02:38:25,29.0331,21.5482,65.66,36,0,3.91,clear sky
211,Koumac,NC,2022-05-23 02:38:26,-20.5667,164.2833,76.91,76,79,14.85,broken clouds
212,Alofi,NU,2022-05-23 02:38:26,-19.0595,-169.9187,80.49,78,4,10.36,clear sky
213,Provideniya,RU,2022-05-23 02:38:27,64.3833,-173.3,53.71,54,0,11.01,clear sky
214,Whitehorse,CA,2022-05-23 02:38:27,60.7161,-135.0538,59.77,21,75,19.57,broken clouds
215,Avarua,CK,2022-05-23 02:38:27,-21.2078,-159.775,84.25,74,40,8.05,scattered clouds
216,Taoudenni,ML,2022-05-23 02:38:28,22.6783,-3.9836,88.34,10,0,8.66,clear sky
217,Ossora,RU,2022-05-23 02:38:28,59.2353,163.0719,42.84,80,48,4.45,scattered clouds
218,Fukue,JP,2022-05-23 02:38:29,32.6881,128.8419,71.96,73,0,4.61,clear sky
219,Fort Saint James,CA,2022-05-23 02:38:29,54.4333,-124.25,58.64,35,92,8.59,overcast clouds
220,Lipin Bor,RU,2022-05-23 02:38:30,60.2622,37.9763,34.07,70,100,11.45,overcast clouds
221,Buala,SB,2022-05-23 02:38:30,-8.145,159.5921,85.48,68,37,4.23,scattered clouds
222,Roswell,US,2022-05-23 02:38:31,34.0232,-84.3616,78.85,68,0,5.75,clear sky
223,Santa Marta,CO,2022-05-23 02:38:31,11.2408,-74.199,85.89,67,8,14.0,clear sky
224,Julio De Castilhos,BR,2022-05-23 02:38:31,-29.2269,-53.6817,48.36,91,49,5.79,scattered clouds
225,Belomorsk,RU,2022-05-23 02:38:32,64.5232,34.7668,35.19,72,25,9.82,scattered clouds
226,Humaita,BR,2022-05-23 02:38:32,-7.5061,-63.0208,77.09,73,100,0.87,overcast clouds
227,Severo-Yeniseyskiy,RU,2022-05-23 02:38:33,60.3725,93.0408,61.39,47,0,6.35,clear sky
228,Providencia,MX,2022-05-23 02:38:33,28.7167,-111.5833,81.21,62,0,8.21,clear sky
229,Sinnamary,GF,2022-05-23 02:39:34,5.3833,-52.95,76.41,88,94,4.32,overcast clouds
230,Coahuayana,MX,2022-05-23 02:39:34,18.7333,-103.6833,73.96,87,30,1.83,scattered clouds
231,Terrace,CA,2022-05-23 02:36:07,54.5163,-128.6035,64.31,31,100,13.8,overcast clouds
232,Macapa,BR,2022-05-23 02:39:35,0.0389,-51.0664,76.98,100,40,2.3,scattered clouds
